pin_id,file_name,board_name,pin_title,pin_description,destination_url,alt_text,keywords,style,property,template,status
pin-011,pin-011-sunset-printable-pdf.png,Airbnb Welcome Book Ideas,Give guests a printable welcome book and a mobile guide,"Tropical rental welcome guide in warm sunset style — share the link with guests or print it for arrivals. Mobile-first + printable PDF. English, Spanish, French. Early Access $29.",https://myguestguide.com/villas/casa-selva-tulum/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=printable-pdf-sunset,Sunset-style tropical rental mobile guest guide with printable PDF welcome book for Casa Selva Tulum vacation rental.,tropical rental welcome book | printable PDF vacation rental guide | Tulum Airbnb welcome book | mobile and print rental guide | Latin American vacation rental tools,Sunset,Casa Selva Tulum,template-03-printable-pdf,ready
pin-012,pin-012-classic-printable-pdf.png,Airbnb Welcome Book Ideas,A guest guide that works on phone and paper,Classic style Parisian flat welcome guide. Share the mobile link with guests or keep a printed copy at your property. Mobile-first + printable PDF. EN/ES/FR. Early Access $29.,https://myguestguide.com/villas/le-marais-flat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=printable-pdf-classic,Classic-style boutique flat mobile guest guide with printable PDF version for Le Marais Flat Paris vacation rental.,boutique flat welcome book | Paris rental guest guide | European rental printable guide | classic Airbnb PDF | hotel-style vacation rental guide,Classic,Le Marais Flat,template-03-printable-pdf,ready
pin-013,pin-013-coastal-trilingual.png,International Short Term Rental Tips,"One guest guide, three languages","English, Spanish, and French versions for your beach vacation rental. International guests find what they need without confusion. Coastal style. Mobile guide + printable PDF. Early Access $29.",https://myguestguide.com/villas/ocean-drive-retreat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=trilingual-coastal,"Trilingual coastal beach rental guest guide showing English, Spanish, and French language options for Ocean Drive Retreat.",trilingual Airbnb guide | multilingual vacation rental | EN ES FR guest guide | international rental guests | beach rental multilingual welcome book,Coastal,Ocean Drive Retreat,template-04-trilingual,ready
pin-014,pin-014-minimalist-trilingual.png,International Short Term Rental Tips,Your city rental guide in three languages,"English, Spanish, and French — give international city rental guests a clear, trilingual mobile guide. Minimalist style. Mobile guide + printable PDF. Early Access $29.",https://myguestguide.com/villas/the-soho-loft/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=trilingual-minimalist,"Minimalist city apartment trilingual guest guide showing English, Spanish, and French language options for The SoHo Loft rental.",trilingual city rental guide | multilingual Airbnb host | international city apartment guests | EN ES FR vacation rental | multilingual welcome book,Minimalist,The SoHo Loft,template-04-trilingual,ready
pin-015,pin-015-sunset-trilingual.png,International Short Term Rental Tips,"Tropical rental guide in English, Spanish, and French",Welcome international guests to your tropical property with a trilingual mobile guide. Sunset style. Casa Selva Tulum. Mobile guide + printable PDF. EN/ES/FR. Early Access $29.,https://myguestguide.com/villas/casa-selva-tulum/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=trilingual-sunset,Sunset-style tropical vacation rental trilingual guest guide in English Spanish and French for Casa Selva Tulum.,tropical trilingual rental guide | Tulum multilingual welcome book | Spanish English French rental guide | Latin American vacation rental | destination rental host tools,Sunset,Casa Selva Tulum,template-04-trilingual,ready
pin-016,pin-016-classic-trilingual.png,International Short Term Rental Tips,"Boutique flat guide in English, Spanish, and French","Classic Parisian style welcome guide in three languages for international guests. Le Marais Flat, Paris. Mobile guide + printable PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/le-marais-flat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=trilingual-classic,"Classic-style boutique Paris flat trilingual guest guide showing English, Spanish, and French versions for Le Marais Flat rental.",Paris boutique flat guide | French rental multilingual | European vacation rental trilingual | classic welcome book three languages | boutique apartment host tools,Classic,Le Marais Flat,template-04-trilingual,ready
pin-017,pin-017-coastal-stop-repeating.png,Airbnb Host Tips,Stop repeating check-in instructions,"Send beach rental guests a mobile guide before they arrive. Check-in, WiFi, house rules, and local tips in one link. Coastal style. Mobile guide + printable PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=stop-repeating-coastal,Coastal beach rental host tip: stop repeating check-in instructions by giving guests a mobile guest guide link.,Airbnb check-in instructions | vacation rental host tip | guest communication Airbnb | stop repeating Airbnb rules | beach rental automation tip,Coastal,Ocean Drive Retreat,template-05-stop-repeating,ready
pin-018,pin-018-minimalist-stop-repeating.png,Airbnb Host Tips,Stop repeating your check-in instructions,"Give city apartment guests one clean guide link instead of scattered messages. WiFi, rules, check-in, and local tips together. Minimalist style. Mobile guide + PDF. Early Access $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=stop-repeating-minimalist,Minimalist city apartment host tip: stop repeating check-in instructions by using a clean mobile guest guide link.,Airbnb host efficiency | city rental check-in guide | stop repeating instructions Airbnb | vacation rental host tools | digital house manual,Minimalist,The SoHo Loft,template-05-stop-repeating,ready
pin-019,pin-019-sunset-stop-repeating.png,Airbnb Host Tips,Stop sending the same arrival instructions every time,"Give your tropical rental guests a clear mobile guide before they arrive. Check-in, house rules, WiFi, and local tips in one link. Sunset style. Mobile guide + PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=stop-repeating-sunset,Sunset tropical rental host tip: stop repeating arrival instructions by giving guests a warm sunset-style mobile guest guide.,tropical rental host tips | Airbnb guest communication | vacation rental arrival instructions | Tulum rental host tools | stop repeating check-in info,Sunset,Casa Selva Tulum,template-05-stop-repeating,ready
pin-020,pin-020-classic-stop-repeating.png,Airbnb Host Tips,Stop sending the same messages before every stay,"Give boutique flat guests one elegant guide for check-in, house rules, local Paris tips, and everything they need. Classic style. Mobile guide + PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=stop-repeating-classic,Classic-style boutique flat Paris rental host tip: stop repeating messages by using an elegant mobile guest guide for every stay.,Paris rental host tips | boutique flat Airbnb | stop repeating Airbnb messages | European rental guest communication | elegant vacation rental guide,Classic,Le Marais Flat,template-05-stop-repeating,ready
pin-021,pin-021-coastal-existing-materials.png,Airbnb Welcome Book Ideas,Already have a welcome book? Send what you have,"PDF, Word file, Canva export, photos, or screenshots — or fill out our simple form. Early access includes manual setup. You don't have to start from scratch. Coastal style. Mobile guide + PDF. $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=existing-materials-coastal,"Airbnb host with existing welcome book materials can send PDF, Word, photos or fill a form to get a coastal-style mobile guest guide.",Airbnb welcome book alternative | convert PDF to guest guide | vacation rental existing materials | Airbnb host welcome book update | send existing welcome book,Coastal,Ocean Drive Retreat,template-06-existing-materials,ready
pin-022,pin-022-minimalist-existing-materials.png,Airbnb Welcome Book Ideas,You don't have to start from scratch,"Send your existing welcome info — PDF, Word file, photos, or screenshots — or fill out our simple form. Early access includes manual setup. Minimalist style. Mobile guide + PDF. $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=existing-materials-minimalist,City apartment Airbnb host can send existing materials or fill a form to get a minimalist mobile guest guide without starting from scratch.,Airbnb welcome book upgrade | city rental host tools | send existing materials rental guide | Airbnb PDF to digital guide | minimalist vacation rental setup,Minimalist,The SoHo Loft,template-06-existing-materials,ready
pin-023,pin-023-sunset-existing-materials.png,Airbnb Welcome Book Ideas,Have a welcome PDF? We'll work from it,"Send your existing Airbnb welcome book, PDF, photos, or screenshots — or fill out our simple form. Early access includes hands-on setup. Sunset style. Mobile guide + PDF. $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=existing-materials-sunset,"Tropical rental Airbnb host can send existing welcome PDF, photos or screenshots to get a sunset-style mobile guest guide for their property.",vacation rental PDF welcome book | Airbnb existing materials | tropical rental host setup | send PDF for guest guide | Tulum Airbnb welcome book alternative,Sunset,Casa Selva Tulum,template-06-existing-materials,ready
pin-024,pin-024-classic-existing-materials.png,Airbnb Welcome Book Ideas,Your existing welcome book is a great starting point,"Send a PDF, Word file, photos, or fill out our simple form. Manual setup included in early access. Classic style boutique flat guide. Mobile guide + PDF. EN/ES/FR. $29.",https://myguestguide.com/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=existing-materials-classic,Boutique Paris flat Airbnb host can use existing welcome book PDF or photos to get a classic-style mobile guest guide.,boutique flat welcome book upgrade | Paris rental existing materials | classic vacation rental setup | send welcome book for digital guide | European rental host early access,Classic,Le Marais Flat,template-06-existing-materials,ready
pin-025,pin-025-coastal-private-details.png,Vacation Rental Host Tools,Public guest guide + private guest link for sensitive details,Your beach rental guide is public for discovery. Sensitive stay details stay in a separate private link shared only with confirmed guests. Coastal style. Mobile guide + PDF. Early Access $29.,https://myguestguide.com/villas/ocean-drive-retreat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=private-link-coastal,Coastal beach vacation rental showing two-part system: public guest guide for general info and private guest link for confirmed guests' sensitive details.,vacation rental private link | Airbnb sensitive details | guest guide security | private check-in link Airbnb | beach rental host tools,Coastal,Ocean Drive Retreat,template-07-private-details,ready
pin-026,pin-026-minimalist-private-details.png,Vacation Rental Host Tools,Separate your public info from private stay details,Public guide for anyone to see. Private guest link for confirmed guests with sensitive details. Minimalist style city apartment guide. Mobile guide + PDF. Early Access $29.,https://myguestguide.com/villas/the-soho-loft/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=private-link-minimalist,Minimalist city apartment vacation rental showing separation between public guest guide and private guest link for sensitive stay details.,Airbnb private link | city rental two-link system | vacation rental security | public and private guest guide | minimalist Airbnb host tools,Minimalist,The SoHo Loft,template-07-private-details,ready
pin-027,pin-027-sunset-private-details.png,Vacation Rental Host Tools,Keep your property safe with a private guest link,Public tropical guide for general discovery. Private link for confirmed guests with sensitive stay details. Sunset style. Casa Selva Tulum. Mobile guide + PDF. Early Access $29.,https://myguestguide.com/villas/casa-selva-tulum/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=private-link-sunset,Sunset tropical vacation rental showing public guest guide and private guest link system for secure sensitive stay detail sharing.,tropical rental guest safety | Airbnb private details link | vacation rental security | Tulum rental private link | short term rental host safety,Sunset,Casa Selva Tulum,template-07-private-details,ready
pin-028,pin-028-classic-private-details.png,Vacation Rental Host Tools,Public guide. Private link. Both included.,"Your boutique flat guide is public for guests to discover. Sensitive stay details in a private link for confirmed reservations only. Classic style, Paris. Mobile guide + PDF. Early Access $29.",https://myguestguide.com/villas/le-marais-flat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=private-link-classic,Classic boutique Paris flat vacation rental with public guest guide and private guest link for sensitive details system.,Paris rental private link | boutique flat guest security | European vacation rental tools | classic Airbnb two-link | private guest access link,Classic,Le Marais Flat,template-07-private-details,ready
pin-029,pin-029-coastal-style-showcase.png,Vacation Rental Guest Guide,Coastal guest guide for beach vacation rentals,"Airy, premium, beach-inspired design for your Airbnb or short-term rental. See the live Coastal style demo: Ocean Drive Retreat. Mobile guide + printable PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/ocean-drive-retreat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=style-showcase-coastal,Coastal style beach vacation rental mobile guest guide showcase showing airy premium design for Ocean Drive Retreat Airbnb.,coastal Airbnb guide design | beach rental welcome book style | ocean vacation rental guest guide | premium beach rental tools | coastal vacation rental host,Coastal,Ocean Drive Retreat,template-08-style-showcase,ready
pin-030,pin-030-minimalist-style-showcase.png,Vacation Rental Guest Guide,Minimalist guest guide for city apartments,"Clean, editorial design for urban vacation rentals. See the live Minimalist style demo: The SoHo Loft. Mobile guide + printable PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/the-soho-loft/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=style-showcase-minimalist,Minimalist style city apartment vacation rental mobile guest guide showcase showing clean editorial black and white design for The SoHo Loft.,minimalist Airbnb guide design | city apartment vacation rental | clean rental guest guide | SoHo loft host tools | urban rental welcome book style,Minimalist,The SoHo Loft,template-08-style-showcase,ready
pin-031,pin-031-sunset-style-showcase.png,Vacation Rental Guest Guide,Sunset guest guide for tropical stays,"Warm, vibrant design for tropical, Latin American, and destination vacation rentals. See the live Sunset style demo: Casa Selva Tulum. Mobile guide + PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/casa-selva-tulum/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=style-showcase-sunset,Sunset style tropical vacation rental mobile guest guide showcase showing warm vibrant design for Casa Selva Tulum Airbnb.,tropical rental design | sunset Airbnb welcome book | Tulum vacation rental guide style | warm rental guest guide | Latin American short term rental,Sunset,Casa Selva Tulum,template-08-style-showcase,ready
pin-032,pin-032-classic-style-showcase.png,Vacation Rental Guest Guide,Classic guest guide for boutique flats,"Elegant, sophisticated design for European boutique apartments and historic city rentals. See the live Classic style demo: Le Marais Flat, Paris. Mobile guide + PDF. EN/ES/FR. Early Access $29.",https://myguestguide.com/villas/le-marais-flat/?utm_source=pinterest&utm_medium=organic&utm_campaign=pinterest_v2_launch&utm_content=style-showcase-classic,Classic style boutique Paris flat vacation rental mobile guest guide showcase showing elegant dark green and gold design for Le Marais Flat.,classic Airbnb guide design | boutique flat welcome book style | Paris vacation rental design | European rental guest guide | elegant vacation rental tools,Classic,Le Marais Flat,template-08-style-showcase,ready
